name;prize;penalty
Complex7992;1;5
Complex8005;1;5
Complex8022;1;5
Complex7990;1;5
Complex7987;1;5
Complex8024;1;5
Complex7079;1;5
Complex7996;1;5
Complex8027;1;5
Complex8026;1;5
Complex8039;1;5
Complex1048;1;5
Complex8028;1;5
Complex7989;1;5
Complex7988;1;5
Complex8036;1;5
Complex8015;1;5
Complex7983;1;5
Complex7982;1;5
Complex7981;1;5
Complex7980;1;5
Complex8025;1;5
Complex7986;1;5
Complex7985;1;5
Complex7984;1;5
Complex8007;1;5
Complex8006;1;5
Complex8049;1;5
Complex8048;1;5
Complex8003;1;5
Complex8002;1;5
Complex8001;1;5
Complex8000;1;5
Complex8043;1;5
Complex8042;1;5
Complex8041;1;5
Complex8040;1;5
Complex8047;1;5
Complex8046;1;5
Complex8045;1;5
Complex8011;1;5
Complex8029;1;5
Complex8020;1;5
Complex8013;1;5
Complex7979;1;5
Complex8004;1;5
Complex2139;1;5
Complex7997;1;5
Complex4371;1;5
Complex4370;1;5
Complex4372;1;5
Complex7994;1;5
Complex7993;1;5
Complex7998;1;5
Complex7999;1;5
Complex8038;1;5
Complex8023;1;5
Complex1130;1;5
Complex7991;1;5
Complex8034;1;5
Complex8035;1;5
Complex8032;1;5
Complex8033;1;5
Complex8030;1;5
Complex8031;1;5
Complex8014;1;5
Complex8021;1;5
Complex8016;1;5
Complex8017;1;5
Complex8010;1;5
Complex8009;1;5
Complex8012;1;5
Complex8037;1;5
Complex8050;1;5
Complex8008;1;5
Complex8018;1;5
Complex8019;1;5
Complex7995;1;5
Protein17124;1;5
SmallMolecule361;1;5
Protein17126;1;5
Protein17127;1;5
Protein17120;1;5
Protein17121;1;5
Protein17122;1;5
Protein17125;1;5
Protein8673;1;5
Protein17128;1;5
Protein17129;1;5
Protein7697;1;5
Protein17083;1;5
Protein17082;1;5
Protein8934;1;5
Protein17080;1;5
Protein8932;1;5
Protein8933;1;5
Protein8930;1;5
Protein8931;1;5
Protein2726;1;5
Protein17089;1;5
Protein17088;1;5
Protein12537;1;5
Dna307;1;5
Protein2703;1;5
Protein7267;1;5
Protein2544;1;5
Protein7309;1;5
Protein2728;1;5
Protein17123;1;5
Protein2547;1;5
Protein17151;1;5
Protein17150;1;5
Protein15914;1;5
Protein2546;1;5
Protein17028;1;5
Protein2707;1;5
SmallMolecule123;1;5
SmallMolecule124;1;5
Protein2540;1;5
Protein17137;1;5
Protein17136;1;5
Protein17135;1;5
Protein17134;1;5
Protein17133;1;5
Protein2543;1;5
Protein17131;1;5
Protein17130;1;5
Protein17045;1;5
Protein2542;1;5
Protein17139;1;5
Protein17138;1;5
Protein17032;1;5
Protein16720;1;5
Dna309;1;5
Protein17085;1;5
Protein7286;1;5
Protein2732;1;5
Protein2466;1;5
Protein2467;1;5
Protein2465;1;5
Protein17081;1;5
SmallMolecule721;1;5
Protein2534;1;5
SmallMolecule138;1;5
Protein1751;1;5
Protein1750;1;5
Protein1753;1;5
Protein2535;1;5
Protein17084;1;5
Protein17087;1;5
Protein2730;1;5
Protein2733;1;5
Protein17102;1;5
Protein17103;1;5
Protein17100;1;5
Protein2731;1;5
Protein17106;1;5
Protein17107;1;5
Protein17104;1;5
PhysicalEntity1244;1;5
Protein1491;1;5
Protein2736;1;5
Protein17108;1;5
Protein17109;1;5
Protein7299;1;5
Protein2737;1;5
Protein2734;1;5
Protein2735;1;5
Protein1748;1;5
Protein1749;1;5
Protein17110;1;5
Protein1742;1;5
Protein1743;1;5
Protein1740;1;5
Protein1741;1;5
