name;prize;penalty
Complex7992;5;100
Complex8005;5;100
Complex8022;5;100
Complex7990;5;100
Complex7987;5;100
Complex8024;5;100
Complex7079;5;100
Complex7996;5;100
Complex8027;5;100
Complex8026;5;100
Complex8039;5;100
Complex1048;5;100
Complex8028;5;100
Complex7989;5;100
Complex7988;5;100
Complex8036;5;100
Complex8015;5;100
Complex7983;5;100
Complex7982;5;100
Complex7981;5;100
Complex7980;5;100
Complex8025;5;100
Complex7986;5;100
Complex7985;5;100
Complex7984;5;100
Complex8007;5;100
Complex8006;5;100
Complex8049;5;100
Complex8048;5;100
Complex8003;5;100
Complex8002;5;100
Complex8001;5;100
Complex8000;5;100
Complex8043;5;100
Complex8042;5;100
Complex8041;5;100
Complex8040;5;100
Complex8047;5;100
Complex8046;5;100
Complex8045;5;100
Complex8011;5;100
Complex8029;5;100
Complex8020;5;100
Complex8013;5;100
Complex7979;5;100
Complex8004;5;100
Complex2139;5;100
Complex7997;5;100
Complex4371;5;100
Complex4370;5;100
Complex4372;5;100
Complex7994;5;100
Complex7993;5;100
Complex7998;5;100
Complex7999;5;100
Complex8038;5;100
Complex8023;5;100
Complex1130;5;100
Complex7991;5;100
Complex8034;5;100
Complex8035;5;100
Complex8032;5;100
Complex8033;5;100
Complex8030;5;100
Complex8031;5;100
Complex8014;5;100
Complex8021;5;100
Complex8016;5;100
Complex8017;5;100
Complex8010;5;100
Complex8009;5;100
Complex8012;5;100
Complex8037;5;100
Complex8050;5;100
Complex8008;5;100
Complex8018;5;100
Complex8019;5;100
Complex7995;5;100
Protein17124;5;100
SmallMolecule361;5;100
Protein17126;5;100
Protein17127;5;100
Protein17120;5;100
Protein17121;5;100
Protein17122;5;100
Protein17125;5;100
Protein8673;5;100
Protein17128;5;100
Protein17129;5;100
Protein7697;5;100
Protein17083;5;100
Protein17082;5;100
Protein8934;5;100
Protein17080;5;100
Protein8932;5;100
Protein8933;5;100
Protein8930;5;100
Protein8931;5;100
Protein2726;5;100
Protein17089;5;100
Protein17088;5;100
Protein12537;5;100
Dna307;5;100
Protein2703;5;100
Protein7267;5;100
Protein2544;5;100
Protein7309;5;100
Protein2728;5;100
Protein17123;5;100
