tail;head;cost
Complex1000,Complex5301,Protein2410;Complex5302,Protein2410;1
Complex1000,Complex5303,Protein2410,Protein2411;Complex997,Protein2410;1
Complex1001,Complex5297;Complex1000;1
Complex1002,PhysicalEntity91,SmallMolecule125;Complex1001;1
Complex1003,Complex5304,PhysicalEntity932,Protein10557,Protein2410,PhysicalEntity932;Complex1003,Complex5304,PhysicalEntity932,Protein10557,Protein2410;1
Complex1003,Protein6584;Complex2862;1
Complex1003,SmallMolecule125;Complex1002;1
Complex1004,Complex1005,Protein2410;Complex5297;1
Complex1007,Complex8066;Complex8069;1
Complex1007,Complex8209,Protein2424;Complex8210;1
Complex1007,Complex8439;Complex8440;1
Complex1007,Complex8464;Complex8469;1
Complex1007,Complex8505;Complex8506;1
Complex1007,Complex8719;Complex8722;1
Complex1007,Protein17179;Complex8083;1
Complex1007,Protein18508;Complex9063;1
Complex1007,SmallMolecule123,Complex1009;Complex1008,SmallMolecule124;1
Complex1007,SmallMolecule123,Complex8728;Complex1008,SmallMolecule124;1
Complex1007,SmallMolecule123,Complex8766,Complex8765;Complex1008,SmallMolecule124;1
Complex1007,SmallMolecule123,Complex8147;Complex8149,SmallMolecule124;1
Complex1007,SmallMolecule123,Complex8906;Complex8149,SmallMolecule124;1
Complex1007,SmallMolecule123,Complex8926;Complex8149,SmallMolecule124;1
Complex100,Protein278;Complex101;1
Complex1011,Complex1013;Complex9056;1
Complex1013,Complex1015;Complex8662;1
Complex1013,Complex8442,PhysicalEntity92;Complex8443;1
Complex1013,Complex8509,PhysicalEntity92;Complex8510;1
Complex1015,Protein17174;Complex8659,PhysicalEntity92;1
Complex1017,Protein14877;Complex8658;1
Complex1019;Complex1018;1
Complex1019,Protein18660;Complex8663;1
Complex1021;Complex1020;1
Complex1025,SmallMolecule123,Complex1008;Complex1026,Protein2440,SmallMolecule124;1
Complex1026,Complex1030,Complex1028;Complex1027;1
Complex1030,Protein7698;Complex8691;1
Complex1032,Protein18688;Complex8690;1
Complex1034,SmallMolecule123,Complex1008;Complex1036,SmallMolecule124;1
Complex1034,SmallMolecule123;Complex1037,SmallMolecule124;1
Complex1034,SmallMolecule123,Complex1008;Complex1038,SmallMolecule124;1
