name;prize;penalty
Complex1;5;100
Complex10;5;100
Complex100;5;100
Complex1000;5;100
Complex1001;5;100
Complex1002;5;100
Complex1003;5;100
Complex1004;5;100
Complex1005;5;100
Complex1006;5;100
Complex1007;5;100
Complex1008;5;100
Complex1009;5;100
Complex101;5;100
Complex1010;5;100
Complex1011;5;100
Complex1012;5;100
Complex1013;5;100
Complex1014;5;100
Complex1015;5;100
Complex1016;5;100
Complex1017;5;100
Complex1018;5;100
Complex1019;5;100
Complex102;5;100
Complex1020;5;100
Complex1021;5;100
Complex1022;5;100
Complex1023;5;100
Complex1024;5;100
Complex1025;5;100
Complex1026;5;100
Complex1027;5;100
Complex1028;5;100
Complex1029;5;100
Complex103;5;100
Complex1030;5;100
Complex1031;5;100
Complex1032;5;100
Complex1033;5;100
Complex1034;5;100
Complex1035;5;100
Complex1036;5;100
Complex1037;5;100
Complex1038;5;100
Complex1039;5;100
Complex104;5;100
Complex1040;5;100
Complex1041;5;100
Complex1042;5;100
Complex1043;5;100
Complex1044;5;100
Complex1045;5;100
Complex1046;5;100
Complex1047;5;100
Complex1048;5;100
Complex1049;5;100
Complex105;5;100
Complex1050;5;100
Complex1051;5;100
Complex1052;5;100
Complex1053;5;100
Complex1054;5;100
Complex1055;5;100
Complex1056;5;100
Complex1057;5;100
Complex1058;5;100
Complex1059;5;100
Complex106;5;100
Complex1060;5;100
Complex1061;5;100
Complex1062;5;100
Complex1063;5;100
Complex1064;5;100
Complex1065;5;100
Complex1066;5;100
Complex1067;5;100
Complex1068;5;100
Complex1069;5;100
Complex107;5;100
Complex1070;5;100
Complex1071;5;100
Complex1072;5;100
Complex1073;5;100
Complex1074;5;100
Complex1075;5;100
Complex1076;5;100
Complex1077;5;100
Complex1078;5;100
Complex1079;5;100
Complex108;5;100
Complex1080;5;100
Complex1081;5;100
Complex1082;5;100
Complex1083;5;100
Complex1084;5;100
Complex1085;5;100
Complex1086;5;100
Complex1087;5;100
Complex1088;5;100
Complex1089;5;100
Complex109;5;100
Complex1090;5;100
Complex1091;5;100
Complex1092;5;100
Complex1093;5;100
Complex1094;5;100
Complex1095;5;100
Complex1096;5;100
Complex1097;5;100
Complex1098;5;100
Complex1099;5;100
Complex11;5;100
Complex110;5;100
Complex1100;5;100
Complex1101;5;100
Complex1102;5;100
Complex1103;5;100
Complex1104;5;100
Complex1105;5;100
Complex1106;5;100
Complex1107;5;100
Complex1108;5;100
Complex1109;5;100
Complex111;5;100
Complex1110;5;100
Complex1111;5;100
Complex1112;5;100
Complex1113;5;100
Complex1114;5;100
Complex1115;5;100
Complex1116;5;100
Complex1117;5;100
Complex1118;5;100
Complex1119;5;100
Complex112;5;100
Complex1120;5;100
Complex1121;5;100
Complex1122;5;100
Complex1123;5;100
Complex1124;5;100
Complex1125;5;100
Complex1126;5;100
Complex1127;5;100
Complex1128;5;100
Complex1129;5;100
Complex113;5;100
Complex1130;5;100
Complex1131;5;100
Complex1132;5;100
Complex1133;5;100
Complex1134;5;100
Complex1135;5;100
Complex1136;5;100
Complex1137;5;100
Complex1138;5;100
Complex1139;5;100
Complex114;5;100
Complex1140;5;100
Complex1141;5;100
Complex1142;5;100
Complex1143;5;100
Complex1144;5;100
Complex1145;5;100
Complex1146;5;100
Complex1147;5;100
Complex1148;5;100
Complex1149;5;100
Complex115;5;100
Complex1150;5;100
Complex1151;5;100
Complex1152;5;100
Complex1153;5;100
Complex1154;5;100
Complex1155;5;100
Complex1156;5;100
Complex1157;5;100
Complex1158;5;100
Complex1159;5;100
Complex116;5;100
Complex1160;5;100
Complex1161;5;100
Complex1162;5;100
Complex1163;5;100
Complex1164;5;100
Complex1165;5;100
Complex1166;5;100
Complex1167;5;100
Complex1168;5;100
Complex1169;5;100
Complex117;5;100
Complex1170;5;100
Complex1171;5;100
Complex1172;5;100
Complex1173;5;100
Complex1174;5;100
Complex1175;5;100
Complex1176;5;100
Complex1177;5;100
Complex1178;5;100
Complex1179;5;100
Complex118;5;100
Complex1180;5;100
Complex1181;5;100
Complex1182;5;100
Complex1183;5;100
Complex1184;5;100
Complex1185;5;100
Complex1186;5;100
Complex1187;5;100
Complex1188;5;100
Complex1189;5;100
Complex119;5;100
Complex1190;5;100
Complex1191;5;100
Complex1192;5;100
Complex1193;5;100
Complex1194;5;100
Complex1195;5;100
Complex1196;5;100
Complex1197;5;100
Complex1198;5;100
Complex1199;5;100
Complex12;5;100
Complex120;5;100
Complex1200;5;100
Complex1201;5;100
Complex1202;5;100
Complex1203;5;100
Complex1204;5;100
Complex1205;5;100
Complex1206;5;100
Complex1207;5;100
Complex1208;5;100
Complex1209;5;100
Complex121;5;100
Complex1210;5;100
Complex1211;5;100
Complex1212;5;100
Complex1213;5;100
Complex1214;5;100
Complex1215;5;100
Complex1216;5;100
Complex1217;5;100
Complex1218;5;100
Complex1219;5;100
Complex122;5;100
Complex1220;5;100
Complex1221;5;100
Complex1222;5;100
Complex1223;5;100
Complex1224;5;100
Complex1225;5;100
Complex1226;5;100
Complex1227;5;100
Complex1228;5;100
Complex1229;5;100
Complex123;5;100
Complex1230;5;100
Complex1231;5;100
Complex1232;5;100
Complex1233;5;100
Complex1234;5;100
Complex1235;5;100
Complex1236;5;100
Complex1237;5;100
Complex1238;5;100
Complex1239;5;100
Complex124;5;100
Complex1240;5;100
Complex1241;5;100
Complex1242;5;100
Complex1243;5;100
Complex1244;5;100
Complex1245;5;100
Complex1246;5;100
Complex1247;5;100
Complex1248;5;100
Complex1249;5;100
Complex125;5;100
Complex1250;5;100
Complex1251;5;100
Complex1252;5;100
Complex1253;5;100
Complex1254;5;100
Complex1255;5;100
Complex1256;5;100
Complex1257;5;100
Complex1258;5;100
Complex1259;5;100
Complex126;5;100
Complex1260;5;100
Complex1261;5;100
Complex1262;5;100
Complex1263;5;100
Complex1264;5;100
Complex1265;5;100
Complex1266;5;100
Complex1267;5;100
Complex1268;5;100
Complex1269;5;100
Complex127;5;100
Complex1270;5;100
Complex1271;5;100
Complex1272;5;100
Complex1273;5;100
Complex1274;5;100
Complex1275;5;100
Complex1276;5;100
Complex1277;5;100
Complex1278;5;100
Complex1279;5;100
Complex128;5;100
Complex1280;5;100
Complex1281;5;100
Complex1282;5;100
Complex1283;5;100
Complex1284;5;100
Complex1285;5;100
Complex1286;5;100
Complex1287;5;100
Complex1288;5;100
Complex1289;5;100
Complex129;5;100
Complex1290;5;100
Complex1291;5;100
Complex1292;5;100
Complex1293;5;100
Complex1294;5;100
Complex1295;5;100
Complex1296;5;100
Complex1297;5;100
Complex1298;5;100
Complex1299;5;100
Complex13;5;100
Complex130;5;100
Complex1300;5;100
Complex1301;5;100
Complex1302;5;100
Complex1303;5;100
Complex1304;5;100
Complex1305;5;100
Complex1306;5;100
Complex1307;5;100
Complex1308;5;100
Complex1309;5;100
Complex131;5;100
Complex1310;5;100
Complex1311;5;100
Complex1312;5;100
Complex1313;5;100
Complex1314;5;100
Complex1315;5;100
Complex1316;5;100
Complex1317;5;100
Complex1318;5;100
Complex1319;5;100
Complex132;5;100
Complex1320;5;100
Complex1321;5;100
Complex1322;5;100
Complex1323;5;100
Complex1324;5;100
Complex1325;5;100
Complex1326;5;100
Complex1327;5;100
Complex1328;5;100
Complex1329;5;100
Complex133;5;100
Complex1330;5;100
Complex1331;5;100
Complex1332;5;100
Complex1333;5;100
Complex1334;5;100
Complex1335;5;100
Complex1336;5;100
